,Weight,Zone,Type of Delivery,Price,Year
377,63,2,FedEx 2Day® A.M.,115.97,2021
378,64,2,FedEx First Overnight,198.33,2021
379,64,2,FedEx Priority Overnight,167.33,2021
380,64,2,FedEx Std Overnight,143.30,2021
381,64,2,FedEx 2DAy,103.42,2021
382,64,2,FedEx Express Saver,93.27,2021
383,64,2,FedEx 2Day® A.M.,119.97,2021
384,65,2,FedEx First Overnight,199.13,2021
385,65,2,FedEx Priority Overnight,168.13,2021
386,65,2,FedEx Std Overnight,147.64,2021
387,65,2,FedEx 2DAy,107.3,2021
388,65,2,FedEx Express Saver,93.67,2021
389,65,2,FedEx 2Day® A.M.,120.37,2021
390,66,2,FedEx First Overnight,199.56,2021
391,66,2,FedEx Priority Overnight,168.56,2021
392,66,2,FedEx Std Overnight,150.34,2021
393,66,2,FedEx 2DAy,107.74,2021
394,66,2,FedEx Express Saver,94.07,2021
395,66,2,FedEx 2Day® A.M.,120.77,2021
396,67,2,FedEx First Overnight,201.18,2021
397,67,2,FedEx Priority Overnight,170.18,2021
398,67,2,FedEx Std Overnight,152.52,2021
399,67,2,FedEx 2DAy,108.18,2021
400,67,2,FedEx Express Saver,94.47,2021
401,67,2,FedEx 2Day® A.M.,121.19,2021
402,68,2,FedEx First Overnight,205.01,2021
403,68,2,FedEx Priority Overnight,174.01,2021
404,68,2,FedEx Std Overnight,153.31,2021
405,68,2,FedEx 2DAy,108.62,2021
406,68,2,FedEx Express Saver,94.87,2021
407,68,2,FedEx 2Day® A.M.,121.63,2021
408,69,2,FedEx First Overnight,205.42,2021
409,69,2,FedEx Priority Overnight,174.42,2021
410,69,2,FedEx Std Overnight,153.71,2021
411,69,2,FedEx 2DAy,109.06,2021
412,69,2,FedEx Express Saver,95.27,2021
413,69,2,FedEx 2Day® A.M.,122.10,2021
414,70,2,FedEx First Overnight,205.85,2021
415,70,2,FedEx Priority Overnight,174.85,2021
416,70,2,FedEx Std Overnight,161.28,2021
417,70,2,FedEx 2DAy,109.5,2021
418,70,2,FedEx Express Saver,97.62,2021
419,70,2,FedEx 2Day® A.M.,122.50,2021
420,71,2,FedEx First Overnight,210.84,2021
421,71,2,FedEx Priority Overnight,179.84,2021
422,71,2,FedEx Std Overnight,164.36,2021
423,71,2,FedEx 2DAy,116.15,2021
424,71,2,FedEx Express Saver,98.06,2021
425,71,2,FedEx 2Day® A.M.,125.27,2021
426,72,2,FedEx First Overnight,212.00,2021
427,72,2,FedEx Priority Overnight,181.00,2021
428,72,2,FedEx Std Overnight,164.76,2021
429,72,2,FedEx 2DAy,116.82,2021
430,72,2,FedEx Express Saver,100.37,2021
431,72,2,FedEx 2Day® A.M.,129.37,2021
432,73,2,FedEx First Overnight,212.42,2021
433,73,2,FedEx Priority Overnight,181.42,2021
434,73,2,FedEx Std Overnight,165.47,2021
435,73,2,FedEx 2DAy,117.22,2021
436,73,2,FedEx Express Saver,100.77,2021
437,73,2,FedEx 2Day® A.M.,129.78,2021
438,74,2,FedEx First Overnight,212.85,2021
439,74,2,FedEx Priority Overnight,181.85,2021
440,74,2,FedEx Std Overnight,166.13,2021
441,74,2,FedEx 2DAy,117.62,2021
442,74,2,FedEx Express Saver,101.17,2021
443,74,2,FedEx 2Day® A.M.,130.29,2021
444,75,2,FedEx First Overnight,213.70,2021
445,75,2,FedEx Priority Overnight,182.70,2021
446,75,2,FedEx Std Overnight,175.57,2021
447,75,2,FedEx 2DAy,118.42,2021
448,75,2,FedEx Express Saver,102.05,2021
449,75,2,FedEx 2Day® A.M.,131.09,2021
450,76,2,FedEx First Overnight,223.12,2021
451,76,2,FedEx Priority Overnight,192.12,2021
452,76,2,FedEx Std Overnight,176.52,2021
453,76,2,FedEx 2DAy,120.68,2021
454,76,2,FedEx Express Saver,103.33,2021
455,76,2,FedEx 2Day® A.M.,140.46,2021
456,77,2,FedEx First Overnight,224.07,2021
457,77,2,FedEx Priority Overnight,193.07,2021
458,77,2,FedEx Std Overnight,179.39,2021
459,77,2,FedEx 2DAy,121.56,2021
460,77,2,FedEx Express Saver,104.13,2021
461,77,2,FedEx 2Day® A.M.,141.40,2021
462,78,2,FedEx First Overnight,224.92,2021
463,78,2,FedEx Priority Overnight,193.92,2021
464,78,2,FedEx Std Overnight,180.30,2021
465,78,2,FedEx 2DAy,122.44,2021
466,78,2,FedEx Express Saver,104.93,2021
467,78,2,FedEx 2Day® A.M.,142.29,2021
468,79,2,FedEx First Overnight,225.76,2021
469,79,2,FedEx Priority Overnight,194.76,2021
470,79,2,FedEx Std Overnight,181.10,2021
471,79,2,FedEx 2DAy,123.33,2021
472,79,2,FedEx Express Saver,105.73,2021
473,79,2,FedEx 2Day® A.M.,143.18,2021
474,80,2,FedEx First Overnight,226.61,2021
475,80,2,FedEx Priority Overnight,195.61,2021
476,80,2,FedEx Std Overnight,181.97,2021
477,80,2,FedEx 2DAy,124.21,2021
478,80,2,FedEx Express Saver,106.53,2021
479,80,2,FedEx 2Day® A.M.,143.98,2021
480,81,2,FedEx First Overnight,233.34,2021
481,81,2,FedEx Priority Overnight,202.34,2021
482,81,2,FedEx Std Overnight,182.77,2021
483,81,2,FedEx 2DAy,128.51,2021
484,81,2,FedEx Express Saver,107.33,2021
485,81,2,FedEx 2Day® A.M.,144.78,2021
486,82,2,FedEx First Overnight,234.19,2021
487,82,2,FedEx Priority Overnight,203.19,2021
488,82,2,FedEx Std Overnight,194.92,2021
489,82,2,FedEx 2DAy,129.77,2021
490,82,2,FedEx Express Saver,111.15,2021
491,82,2,FedEx 2Day® A.M.,145.85,2021
492,83,2,FedEx First Overnight,235.04,2021
493,83,2,FedEx Priority Overnight,204.04,2021
494,83,2,FedEx Std Overnight,196.14,2021
495,83,2,FedEx 2DAy,131.51,2021
496,83,2,FedEx Express Saver,111.95,2021
497,83,2,FedEx 2Day® A.M.,149.36,2021
498,84,2,FedEx First Overnight,235.88,2021
499,84,2,FedEx Priority Overnight,204.88,2021
500,84,2,FedEx Std Overnight,196.94,2021
501,84,2,FedEx 2DAy,132.39,2021
502,84,2,FedEx Express Saver,112.75,2021
503,84,2,FedEx 2Day® A.M.,151.23,2021
504,85,2,FedEx First Overnight,236.74,2021
505,85,2,FedEx Priority Overnight,205.74,2021
506,85,2,FedEx Std Overnight,197.74,2021
507,85,2,FedEx 2DAy,138.5,2021
508,85,2,FedEx Express Saver,113.55,2021
509,85,2,FedEx 2Day® A.M.,152.03,2021
510,86,2,FedEx First Overnight,248.07,2021
511,86,2,FedEx Priority Overnight,217.07,2021
512,86,2,FedEx Std Overnight,202.03,2021
513,86,2,FedEx 2DAy,139.39,2021
514,86,2,FedEx Express Saver,114.35,2021
515,86,2,FedEx 2Day® A.M.,152.83,2021
516,87,2,FedEx First Overnight,249.22,2021
517,87,2,FedEx Priority Overnight,218.22,2021
518,87,2,FedEx Std Overnight,203.03,2021
519,87,2,FedEx 2DAy,140.27,2021
520,87,2,FedEx Express Saver,115.15,2021
521,87,2,FedEx 2Day® A.M.,153.63,2021
522,88,2,FedEx First Overnight,250.07,2021
523,88,2,FedEx Priority Overnight,219.07,2021
524,88,2,FedEx Std Overnight,203.86,2021
525,88,2,FedEx 2DAy,141.15,2021
526,88,2,FedEx Express Saver,115.95,2021
527,88,2,FedEx 2Day® A.M.,154.78,2021
528,89,2,FedEx First Overnight,250.92,2021
529,89,2,FedEx Priority Overnight,219.92,2021
530,89,2,FedEx Std Overnight,210.57,2021
531,89,2,FedEx 2DAy,142.03,2021
532,89,2,FedEx Express Saver,116.75,2021
533,89,2,FedEx 2Day® A.M.,155.58,2021
534,90,2,FedEx First Overnight,251.76,2021
535,90,2,FedEx Priority Overnight,220.76,2021
536,90,2,FedEx Std Overnight,213.50,2021
537,90,2,FedEx 2DAy,142.91,2021
538,90,2,FedEx Express Saver,117.55,2021
539,90,2,FedEx 2Day® A.M.,156.55,2021
540,91,2,FedEx First Overnight,261.85,2021
541,91,2,FedEx Priority Overnight,230.85,2021
542,91,2,FedEx Std Overnight,214.36,2021
543,91,2,FedEx 2DAy,143.79,2021
544,91,2,FedEx Express Saver,121.97,2021
545,91,2,FedEx 2Day® A.M.,157.44,2021
546,92,2,FedEx First Overnight,262.87,2021
547,92,2,FedEx Priority Overnight,231.87,2021
548,92,2,FedEx Std Overnight,221.25,2021
549,92,2,FedEx 2DAy,144.67,2021
550,92,2,FedEx Express Saver,122.77,2021
551,92,2,FedEx 2Day® A.M.,158.32,2021
552,93,2,FedEx First Overnight,263.76,2021
553,93,2,FedEx Priority Overnight,232.76,2021
554,93,2,FedEx Std Overnight,223.54,2021
555,93,2,FedEx 2DAy,145.55,2021
556,93,2,FedEx Express Saver,123.78,2021
557,93,2,FedEx 2Day® A.M.,159.22,2021
558,94,2,FedEx First Overnight,264.56,2021
